addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
1623 CEREAL ST,50100.0,2012,0.0,50100.0,1183.09,7184A,026,25,0,0,750.0,R-7,50904.55,6172.0,7355.09,"PLUTO 2013, LLC",154.0
4905 CHALGROVE AVE,70200.0,2012,0.0,70200.0,5033.46,4615,012,27,0,1,1443.75,R-6,,,,,
0201 CHANCERY ROAD,91200.0,2012,0.0,91200.0,3040.13,3732,004,12,0,0,14969.17,R-1,,,,,
1520 N CHAPEL ST,14100.0,2012,0.0,14100.0,4918.93,1479,071,8,0,0,624.0,R-8,,,,,
1521 N CHAPEL ST,3000.0,2012,0.0,3000.0,20156.82,1479,077,8,0,0,611.0,R-8,,,,,
1608 N CHAPEL ST,3000.0,2012,0.0,3000.0,3741.21,1468,068,8,0,1,672.0,R-8,,,,,
1614 N CHAPEL ST,3000.0,2012,0.0,3000.0,2686.32,1468,071,8,0,0,667.33,R-8,,,,,
1623 N CHAPEL ST,3000.0,2012,0.0,3000.0,431.46,1468,088,8,0,1,826.0,R-8,,,,,
1714 N CHAPEL ST,3000.0,2012,0.0,3000.0,4920.28,1458,071,8,0,0,696.67,R-8,,,,,
1716 N CHAPEL ST,3000.0,2012,0.0,3000.0,8933.35,1458,072,8,0,1,696.67,R-8,,,,,
1717 N CHAPEL ST,7000.0,2012,0.0,7000.0,1591.98,1458,085,8,0,1,696.67,R-8,,,,,
1719 N CHAPEL ST,7000.0,2012,0.0,7000.0,8531.86,1458,086,8,0,1,696.67,R-8,,,,,
1722 N CHAPEL ST,3000.0,2012,0.0,3000.0,5882.43,1458,075,8,0,1,696.67,R-8,,,,,
1723 N CHAPEL ST,7000.0,2012,0.0,7000.0,1627.9,1458,088,8,0,0,696.67,R-8,,,,,
1803 N CHAPEL ST,3000.0,2012,0.0,3000.0,6999.14,1448,101,8,0,1,701.25,R-7,,,,,
1828 N CHAPEL ST,3000.0,2012,0.0,3000.0,923.62,1448,093,8,0,1,660.0,R-7,,,,,
1829 N CHAPEL ST,3000.0,2012,0.0,3000.0,1429.15,1448,114,8,0,0,660.0,R-7,,,,,
0007 S CHAPEL ST,86500.0,2012,0.0,86500.0,2585.84,1736,047,2,0,0,780.0,R-8,44142.6,1908.0,4493.84,QUINSTAR HOME STRATEGIES LLC,226.0
0027 S CHAPEL ST,42000.0,2012,0.0,42000.0,840.94,1736,037,2,0,0,744.0,R-8,51427.83,6925.0,7765.94,"PLUTO 2013, LLC",154.0
0614 S CHAPEL ST,116300.0,2012,0.0,116300.0,563.68,1830,064,2,1,0,720.0,R-8,69730.95,4642.0,5205.68,"PLUTO 2013, LLC",154.0
0411 N CHAPELGATE LANE,234600.0,2012,0.0,234600.0,4003.88,8019,002A,28,0,0,11250.0,R-1,123000.0,5832.0,9835.88,,60.0
0423 N CHAPELGATE LANE,230400.0,2012,0.0,230400.0,6512.27,8019,008,28,0,0,14250.0,R-1,123236.0,6215.0,12727.27,,60.0
0428 S CHAPELGATE LANE,115000.0,2012,0.0,115000.0,1405.79,8139L,064,25,0,0,2229.57,R-6,82674.37,7334.0,8739.79,"PLUTO 2013, LLC",154.0
