addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
**ES ARMSTRONG AV 125 FT S OF RIDGE AV,2700.0,2012,0.0,2700.0,1310.53,4275,026,28,0,0,2750.0,R-4,,,,,
**ES ARMSTRONG AV 250 FT S OF RIDGE AV,2700.0,2012,0.0,2700.0,1264.66,4275,031,28,0,0,2750.0,R-4,,,,,
**ES ARMSTRONG AV 325 FT N OF RIDGE AV,6100.0,2012,0.0,6100.0,421.16,4265,015,28,0,0,7630.0,MAP,,,,,
**ES BELAIR ROAD SEC RAVENWOOD AVE,67800.0,2012,0.0,67800.0,809.15,4178,006,8,0,0,22624.17,B-3-2,3500.0,0.0,809.15,,60.0
**ES BROENING HWY NEC BESSEMER AV,23700.0,2012,0.0,23700.0,4189.5,6813,039,26,0,0,,R-6,,,,,
**ES BROENING HWY SEC BESSEMER AV,35700.0,2012,0.0,35700.0,5829.24,6812,011,26,0,0,,O-R-2,,,,,
**ES CLARKDALE RD 245 FT S OF GORDON RD,13700.0,2012,0.0,13700.0,457.22,3357D,006,13,0,0,20250.0,R-5,,,,,
**ES CLARKDALE RD 295 FT S OF GORDON RD,15300.0,2012,0.0,15300.0,501.3,3357D,005,13,0,0,20250.0,R-5,,,,,
**ES DENISON ST SEC HARLEM AV,1000.0,2012,0.0,1000.0,377.97,2483,015O,16,0,0,957.0,R-6,,,,,
**ES GABLE AV 161-2 FT S OF W PATAPSCO AV,1900.0,2012,0.0,1900.0,1271.12,7515,007,25,0,0,1904.0,M-1-1,,,,,
**ES HAZLETT AV 500 FT N OF OVERTON ST,2400.0,2012,0.0,2400.0,568.76,8186,009,25,0,0,2500.0,R-5,,,,,
**ES HOWARD PARK AV 166-6 FT N OF HADDON AV,4300.0,2012,0.0,4300.0,1470.36,8243,041,28,0,0,8750.0,R-3,,,,,
**ES JOSEPH AV 614 FT N OF CHERRY HILL RD,3100.0,2012,0.0,3100.0,1673.69,7646,055,25,0,0,3125.0,R-6,,,,,
**ES LEVIN RD 135 FT S OF RIVERSIDE RD,4400.0,2012,0.0,4400.0,462.93,7027D,019,25,0,0,1235.33,M-2-1,,,,,
**ES LEVIN RD 143-6 FT S OF RIVERSIDE RD,5200.0,2012,0.0,5200.0,518.63,7027D,020,25,0,0,1096.5,M-2-1,,,,,
**ES LEVIN RD 152 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,948.1,7027D,021,25,0,0,3250.0,M-2-1,,,,,
**ES LEVIN RD 177 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,486.93,7027D,022,25,0,0,3262.5,M-2-1,,,,,
**ES LEVIN RD 202 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,494.47,7027D,023,25,0,0,3275.0,M-2-1,,,,,
**ES LEVIN RD 227 FT S OF RIVERSIDE RD,4800.0,2012,0.0,4800.0,486.93,7027D,024,25,0,0,3287.5,M-2-1,,,,,
**ES LONG ISLAND AV 64-1 FT N OF OVERTON ST,36300.0,2012,0.0,36300.0,9626.3,8139,016,25,0,0,,R-5,,,,,
**ES MILLINGTON AV 16 FT S OF DULANEY ST,3310.0,2012,3310.0,0.0,313.28,2145B,003,20,0,0,3312.0,R-8,,,,,
**ES N BENTALOU ST ADJOINING 1121 ON NORTH,1800.0,2012,0.0,1800.0,6901.53,0047,053,16,0,0,1878.89,R-6,,,,,
**ES N HILTON ST 193-5 FT S OF VICKERS RD,2200.0,2012,0.0,2200.0,1454.32,3061B,028,15,0,0,5944.11,R-6,,,,,
**ES N WOODINGTON RD 195FT N OF VERMONT AV,3400.0,2012,0.0,3400.0,313.28,2546,008,20,0,0,3500.0,R-3,,,,,
**ES N WOODINGTON RD 245 FT N OF VERMONT AV,1900.0,2012,0.0,1900.0,348.66,2546,010,20,0,0,,R-3,,,,,
**ES N WOODYEAR ST REAR 1305-07 HARLEM AV,1000.0,2012,0.0,1000.0,312.55,0112,069A,16,0,0,731.67,R-8,,,,,
**ES PATAPSCO ST 83FT N-E CROSS ST,500.0,2012,0.0,500.0,1010.65,0935A,029A,23,0,0,248.0,B-2-3,,,,,
**ES S CULVER ST 360 FT S OF ST. JOSEPH ST,5000.0,2012,0.0,5000.0,893.82,2253,041,20,0,0,5040.0,R-5,,,,,
**ES S DEAN ST 80'8 S BANK ST,87200.0,2012,0.0,87200.0,2391.72,6315A,037,26,0,0,,M-1-2,,,,,
**ES S MOUNT ST NEC W PRATT ST,93800.0,2012,0.0,93800.0,2411.99,0245,006,19,0,0,,R-8,36832.72,0.0,2411.99,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
**ES SPENCE ST 50 FT N OF JAMES ST,3400.0,2012,0.0,3400.0,316.34,7805B,008A,25,0,0,3500.0,R-7,,,,,
**ES STERRETT ST 106-4FT N OF W BARRE ST,200.0,2012,0.0,200.0,368.16,0859,039,21,0,0,231.67,R-9,,,,,
**ES STERRETT ST 86'4 N W BARRE ST,200.0,2012,0.0,200.0,334.92,0859,041,21,0,0,233.33,R-9,334.92,0.0,334.92,,151.0
**ES VOGT AV SEC FURLEY AV,11400.0,2012,0.0,11400.0,303.28,5960A,001,26,0,0,,R-4,303.28,0.0,303.28,,151.0
**ES WELLESLEY ST SEC CONRAIL RR R/W,5800.0,2012,0.0,5800.0,459.08,2113,028A,20,0,0,,M-1-2,,,,,
**ES WHITE AVE 300'S HAMLET AVE,2600.0,2012,0.0,2600.0,326.34,5415,043,27,0,0,,R-3,,,,,
**ES WILMSLOW RD 245 FT N OF WYNDHURST AV,100.0,2012,0.0,100.0,313.28,4925B,004,27,0,0,,B-1-1,,,,,
**ES 10 FT ALLEY 1ST E EDGEWOOD ST REAR 411-13 EDGEW,640.0,2012,640.0,0.0,313.28,2282,040B,20,0,0,640.0,R-6,,,,,
"**ES 10 FT ALLEY 1ST E EDGEWOOD ST,REAR 413 EDGEWOOD",320.0,2012,320.0,0.0,313.28,2282,041,20,0,0,320.0,R-6,,,,,
**ES 10 FT ALLEY 1ST E OF EDGEWOOD ST REAR 409 EDGEW,520.0,2012,520.0,0.0,1555.34,2282,040,20,0,0,564.72,R-6,,,,,
**ES 10 FT ALLEY 1ST E OF HILTON ST REAR 219-59 S HI,48900.0,2012,0.0,48900.0,1376.56,2199C,042,20,0,0,34867.67,M-1-1,2100.0,0.0,1376.56,,60.0
**ES 10 FT ALLEY 1ST E OF N EDGEWOOD ST REAT 411 N E,320.0,2012,320.0,0.0,313.28,2282,040A,20,0,0,320.0,R-6,,,,,
**ES 10 FT ALLEY 1ST E OF READY AVE REAR 5223 READY,9400.0,2012,0.0,9400.0,1039.42,5165B,053,27,0,0,477.92,R-6,,,,,
**ES 10 FT ALLEY 1ST E OF ROSEDALE ST 639 N ROSEDALE,2300.0,2012,0.0,2300.0,1354.62,2475D,059,16,0,0,418.0,R-6,,,,,
**ES 12 FT ALLEY 1ST E OF ELLAMONT ST 1419 N ELLAMON,100.0,2012,0.0,100.0,906.0,2454,059,16,0,0,100.0,R-5,,,,,
**ES 12 FT ALLEY 1ST E OF FAGLY ST REAR 801-21 S FAG,37080.0,2012,0.0,37080.0,2252.99,6456,052,26,0,0,5462.67,R-8,,,,,
**ES 14 FT ALLEY 1ST E OF PARK HEIGHTS AV REAR 4118-,1000.0,2012,0.0,1000.0,1224.69,3307,070,15,0,0,886.78,R-6,,,,,
**ES 15 FT ALLEY 1ST E AUGUSTA AV REAR 809-13 AUGUST,12100.0,2012,0.0,12100.0,365.68,2512,014,16,0,0,2914.94,R-6,,,,,
**ES 15 FT ALLEY 1ST E OF BENTALOU ST 1255 N BENTALO,2500.0,2012,0.0,2500.0,401.34,0047,025,16,0,0,810.42,M-1-2,,,,,
**ES 16 FT ALLEY 1ST EAST OF NEWPORT AVE REAR 4200 N,700.0,2012,0.0,700.0,1399.35,3575A,099B,13,0,0,799.0,R-6,,,,,
**ES 20 FT ALLEY 1ST E OF ALHAMBRA AV 170 FT N OF RI,900.0,2012,0.0,900.0,1264.72,5217,052,27,0,0,230.0,R-6,,,,,
**ES 20 FT ALLEY 1ST E OF CHELSEA TER REAR 3015 CHEL,1400.0,2012,0.0,1400.0,3601.88,2755,040,15,0,0,1400.0,R-6,,,,,
**ES 20 FT ALLEY 1ST E OF CHELSEA TER REAR 3017 CHEL,1400.0,2012,0.0,1400.0,2062.49,2755,040A,15,0,0,1400.0,R-6,,,,,
**ES 20 FT ALLEY 1ST E OF CHELSEA TER REAR 3019 CHEL,2300.0,2012,0.0,2300.0,3148.18,2755,040B,15,0,0,1400.0,R-6,,,,,
**ES 20 FT ALLEY 1ST E OF WILDWOOD PARKWAY SOUTH HAL,400.0,2012,0.0,400.0,313.28,2489,051,16,0,0,268.22,R-6,,,,,
**ES 22 FT ALLEY 1ST E OF KESWICK RD 402-4 FT S OF 4,1700.0,2012,0.0,1700.0,328.95,3675,039,13,0,0,180.0,R-6,328.95,0.0,328.95,,151.0
**ES 22 FT ALLEY 1ST E OF WELBOURNE RD AT CENTERLINE,500.0,2012,0.0,500.0,341.94,3969L,073,27,0,0,696.53,R-5,,,,,
**ES 22 FT ALLEY 1ST E OF WELBOURNE RD 12-5 FT S OF,2900.0,2012,0.0,2900.0,323.0,3969L,062,27,0,0,190.11,R-5,,,,,
**ES 3 FT ALLEY 1ST E OF HIGHLAND AV REAR 313-15 S H,800.0,2012,0.0,800.0,339.72,6313,022,26,0,0,430.0,B-2-2,,,,,
**ES 9 FT ALLEY 1ST E OF PATTERSON PARK AV REAR 2311,19000.0,2012,0.0,19000.0,11274.46,1654,079,7,0,0,840.0,R-8,,,,,
**MWS 10 FT ALLEY 1ST NW OF CECIL AVE REAR 2604 CECI,500.0,2012,0.0,500.0,1114.97,4114H,062,9,0,0,488.25,R-6,,,,,
**N.W.S. CARLISLE AVE 518' S.W. LYNDHURS0000E,1300.0,2012,0.0,1300.0,1450.07,2852,011,15,0,0,,R-2,,,,,
**NES ARMSTRONG AV 150 FT S OF RIDGE AV,3500.0,2012,0.0,3500.0,1582.64,4275,027,28,0,0,3583.33,R-4,,,,,
**NES ARMSTRONG AV 225 FT S OF RIDGE AV,2700.0,2012,0.0,2700.0,1310.53,4275,030,28,0,0,2750.0,R-4,,,,,
**NES CLIFTON AV 100 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1237.91,8419,024,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 200 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1237.91,8419,027,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 220 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1237.91,8419,028,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 240 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1512.61,8419,029,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 260 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1512.61,8419,030,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 260 FT SE OF TALBOT ST,9100.0,2012,0.0,9100.0,1569.47,8415,090,28,0,0,,R-4,,,,,
**NES CLIFTON AV 280 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1237.91,8419,031,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 60 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1237.91,8419,022,28,0,0,2000.0,R-4,,,,,
**NES CLIFTON AV 80 FT NW OF TALBOT ST,4000.0,2012,0.0,4000.0,1260.1,8419,023,28,0,0,2000.0,R-4,,,,,
**NES CUTHBERT AV 287 FT SE OF HAYWARD AV,500.0,2012,0.0,500.0,352.68,4544C,006A,27,0,0,1190.0,R-5,,,,,
**NES FURLEY AV 52-4 FT E OF ALTHEA AV,100.0,2012,100.0,0.0,1030.4,5937,036,26,0,0,1736.1,R-4,,,,,
**NES FURLEY AV 97-11 FT E OF ALTHEA AV,100.0,2012,100.0,0.0,313.28,5937,037,26,0,0,364.0,R-4,,,,,
**NES HAMILTON AV 126-1 FT W OF BELAIR RD,9900.0,2012,0.0,9900.0,430.16,5750,012,27,0,0,4980.0,R-5,,,,,
**NES HAMILTON AV 167 FT SE OF HAZELWOOD AV,21100.0,2012,0.0,21100.0,313.28,6019,002A,26,0,0,,R-4,313.28,0.0,313.28,,151.0
**NES HUTTON AV 503-3 FT E OF OAK DR,4000.0,2012,0.0,4000.0,1450.96,8415,047,28,0,0,2000.0,R-4,,,,,
**NES HUTTON AV 943-3 FT E OF OAK DR,11900.0,2012,0.0,11900.0,6470.1,8415,064,28,0,0,,R-4,,,,,
**NES LIBERTY HEIGHTS AV 153-5 FT W OF N ROGERS AV,2700.0,2012,0.0,2700.0,313.28,8284,009,28,0,0,2800.0,R-4,,,,,
**NES LOCHLEA RD 50 FT E OF FAIRBANK RD,2100.0,2012,0.0,2100.0,313.28,4652I,012,27,0,0,5500.0,R-1,313.28,0.0,313.28,,151.0
**NES LOW ALLEY 106-6 FT NW OF GOL0000,1000.0,2012,0.0,1000.0,1614.55,0304,050A,14,0,0,330.0,R-9,,,,,
**NES MARX AVE 140-4 FT NW OF BELAIR RD,1200.0,2012,0.0,1200.0,1057.89,5858A,030A,27,0,0,627.08,B-3-2,,,,,
**NES N CALVERTON RD 44-1 FT NW OF W LEXINGTON ST,13900.0,2012,0.0,13900.0,1315.99,2207,021C,20,0,0,,M-2-1,,,,,
**NES OLD FREDERICK RD 75-2 FT SE OF MORLEY ST,3300.0,2012,0.0,3300.0,1398.79,2243C,001,20,0,0,3375.5,R-5,,,,,
**NES RUECKERT AVE 616-3FT NW OF HOLDER AV,1400.0,2012,0.0,1400.0,351.88,5798,031A,27,0,0,722.4,R-4,,,,,
**NES WHISTLER AV 120 FT SE OF WASHINGTON BLVD,5780.0,2012,5780.0,0.0,1119.06,7841C,012,25,0,0,5790.0,R-6,,,,,
**NES 15 FT ALLEY 1ST NE SEQUOIA AV REAR 3246 SEQUOI,1800.0,2012,0.0,1800.0,322.75,3100D,050,15,0,0,678.5,R-6,,,,,
**NES 20 FT ALLEY 1ST NE OF EVERSLEY ST 115-9 FT NW,100.0,2012,0.0,100.0,333.11,2505A,104,16,0,0,180.44,R-6,,,,,
**NS ANNABEL AV NWC OF HELMSTETTER ST,5990.0,2012,5990.0,0.0,313.28,7067,035,25,0,0,6000.0,R-7,313.28,0.0,313.28,,151.0
**NS AYRES COURT 216-6 NW WINDYRIDGE,300.0,2012,0.0,300.0,374.28,5514A,004D,27,0,0,691.17,R-3,,,,,
**NS BRIDGEVIEW RD NEC SEABURY RD,8400.0,2012,0.0,8400.0,2828.46,7614,032,25,0,0,,R-6,,,,,
**NS BROWN AV 135 FT W OF ELRINO ST,21800.0,2012,0.0,21800.0,715.16,6811,001,26,0,0,3125.0,R-6,775.16,0.0,715.16,MACK PROPERTIES INC.,195.0
**NS BROWN AV 160 FT W OF ELRINO ST,21800.0,2012,0.0,21800.0,715.16,6811,002,26,0,0,3125.0,R-6,775.16,0.0,715.16,MACK PROPERTIES INC.,195.0
**NS BROWN AV 185 FT W OF ELRINO ST,21800.0,2012,0.0,21800.0,715.16,6811,003,26,0,0,3125.0,R-6,775.16,0.0,715.16,MACK PROPERTIES INC.,195.0
**NS CAMBRIA AVE 25' E 12TH ST,100.0,2012,0.0,100.0,313.28,7272,006,25,0,0,,R-7,,,,,
**NS CEDARGARDEN RD 114-8 FT W OF THORNFIELD RD,8500.0,2012,0.0,8500.0,385.5,2530C,014A,25,0,0,8533.33,R-5,385.5,0.0,385.5,,151.0
**NS CHURCH ST NEC VIRGINIA AV,900.0,2012,0.0,900.0,346.18,7196,020,25,0,0,1875.0,R-5,,,,,
**NS CHURCH ST 105 FT W OF MURIEL AV,590.0,2012,590.0,0.0,313.28,7143,043,25,0,0,594.0,R-5,,,,,
**NS CHURCH ST 25 FT E OF VIRGINIA AV,1500.0,2012,0.0,1500.0,408.3,7196,021,25,0,0,3125.0,R-5,,,,,
**NS COLGATE AV 330 FT W OF CENTRAL AV 0000,18000.0,2012,0.0,18000.0,2641.9,6986,008,26,0,0,3000.0,R-4,,,,,
**NS COLGATE AV 355 FT W OF CENTRAL AV 0000,18000.0,2012,0.0,18000.0,2625.16,6986,009,26,0,0,3000.0,R-4,,,,,
**NS DELLWOOD AV NEC CONDUIT AV,5000.0,2012,0.0,5000.0,459.02,3566,001,13,0,0,2500.0,R-7,459.02,0.0,459.02,,151.0
**NS DULUTH AV 275 FT E OF DUNDALK AV,21800.0,2012,0.0,21800.0,313.28,6740,027,26,0,0,3125.0,R-3,313.28,0.0,313.28,,151.0
**NS FAIRVIEW AV NEC LYNDHURST AV,6300.0,2012,0.0,6300.0,1441.15,2744A,038,15,0,0,6333.44,R-6,,,,,
**NS FLOWERTON RD 287 FT W OF WALNUT AV,5770.0,2012,5770.0,0.0,828.91,7958,036B,28,0,0,5807.44,R-5,828.91,0.0,828.91,,151.0
**NS FOERSTER AV 425-9 FT E OF HOLLINS FERRY RD,100.0,2012,100.0,0.0,313.28,7470,015,25,0,0,,R-7,313.28,0.0,313.28,,151.0
**NS HOLTON ALLEY REAR 1107 W LOMBARD ST,5800.0,2012,0.0,5800.0,2672.59,0250,096,18,0,1,338.33,R-8,,,,,
**NS ODONNELL ST 1953-1 FT OF GUSRYAN ST,100.0,2012,100.0,0.0,313.28,6694,005,26,0,0,69603.72,R-6,,,,,
**NS PLUM ST 100 FT E OF PENNINGTON AV,15200.0,2012,0.0,15200.0,565.68,7261,017,25,0,0,4000.0,R-7,,,,,
**NS RIDGETOP RD 950 FT S OF HUTTON AV,100.0,2012,100.0,0.0,313.28,8434A,010,28,0,0,60000.0,R-5,,,,,
**NS TUNBRIDGE RD 213-2FT W OF THE ALAMEDA,7400.0,2012,7400.0,0.0,313.28,5142,073,27,0,0,,R-6,,,,,
**NS TUNBRIDGE RD 312 FT E OF CAMERON RD,7400.0,2012,7400.0,0.0,313.28,5142,058,27,0,0,,R-6,,,,,
**NS TUNBRIDGE RD 94 FT E OF CAMERON RD,7400.0,2012,7400.0,0.0,313.28,5142,043,27,0,0,,R-6,,,,,
**NS W FAYETTE ST 80 FT W OF WHEELER AV,500.0,2012,0.0,500.0,1172.69,2163,005A,20,0,0,232.0,R-8,,,,,
**NS W LAFAYETTE AV 102-10 FT W OF DUKELAND ST,9700.0,2012,0.0,9700.0,347.22,2386,002A,16,0,0,,R-7,,,,,
**NS W 39TH ST 130 FT E OF KESWICK RD,1800.0,2012,0.0,1800.0,523.52,3675,042,13,0,0,1861.67,R-6,523.52,0.0,523.52,,151.0
**NS WAKEFIELD RD 38-5 FT E OF FOREST GLEN R0000,11400.0,2012,0.0,11400.0,5618.5,8480C,031,28,0,0,8974.67,R-3,,,,,
**NS WINDSOR AV 214 FT W OF DUKELAND ST,2100.0,2012,0.0,2100.0,955.19,3031,017,15,0,0,2100.0,R-6,,,,,
**NS 10 FT ALLEY 1ST N OF GORSUCH AV REAR 1146-54 GO,13830.0,2012,0.0,13830.0,431.79,4044,039,9,0,0,3330.0,R-7,750.0,0.0,431.79,,60.0
**NS 10 FT ALLEY 1ST N OF GWYNNS FALLS PKWY 45 FT E,500.0,2012,0.0,500.0,1072.77,3055B,034B,15,0,0,510.0,R-6,,,,,
**NS 10 FT ALLEY 1ST N OF ROLLINS AVE 117 FT W OF GR,600.0,2012,0.0,600.0,4691.45,2722,019,15,0,0,621.0,R-5,,,,,
**NS 10 FT ALLEY 1ST N OF 38TH ST REAR 532-38 E 38TH,17900.0,2012,0.0,17900.0,564.51,3903A,047,9,0,0,2520.0,R-5,1500.0,0.0,564.51,,60.0
**NS 12 FT & 20 FT ALLEY 1ST N OF E LAKE AV0000 587-,2600.0,2012,0.0,2600.0,431.53,5128,128,27,0,0,190.0,R-5,,,,,
**NS 12FT AL 1ST NW FREDERICK AVE 73-8FT SW MCPHAIL,8400.0,2012,0.0,8400.0,1461.05,2150,033,20,0,0,3816.67,M-2-2,,,,,
**NS 15 FT ALLEY 1ST N E OF PATAPSCO AV REAR 922 E P,500.0,2012,0.0,500.0,1621.12,7274,024,25,0,0,440.0,O-R-1,,,,,
**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2612 FEDER,2067.0,2012,0.0,2067.0,506.65,1476B,075,8,0,0,2198.9,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2630 FEDER,1000.0,2012,0.0,1000.0,1676.71,1476B,075G,8,0,0,1277.75,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2832 FEDER,700.0,2012,0.0,700.0,1737.23,1476B,077N,8,0,0,880.33,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF GARY AVE REAR 6606 GARY AV,2800.0,2012,0.0,2800.0,1715.68,6770,085,26,0,0,546.0,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF GORSUCH AVE REAR 1140 GORS,567.0,2012,0.0,567.0,1326.23,4044,049,9,0,0,608.33,R-7,,,,,
**NS 15 FT ALLEY 1ST N OF MOSHER ST REAR 2302-04 MOS,1600.0,2012,0.0,1600.0,1126.52,2352,069,16,0,0,585.0,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF MOSHER ST REAR 2304-06 MOS,1867.0,2012,0.0,1867.0,1010.27,2352,066,16,0,0,585.0,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF NORTHGATE RD 255-5FT E OF,3600.0,2012,0.0,3600.0,408.52,3971A,042,27,0,0,241.67,R-5,408.52,0.0,408.52,,151.0
**NS 15 FT ALLEY 1ST N OF NORTHGATE0000 236-1 FT E O,7300.0,2012,0.0,7300.0,730.55,3971A,040,27,0,0,580.0,R-5,,,,,
**NS 15 FT ALLEY 1ST N OF PENHURST AV 108-8 FT E OF,200.0,2012,0.0,200.0,318.76,2975,084,15,0,0,241.67,R-5,,,,,
**NS 15 FT ALLEY 1ST N OF PENHURST AV 400-4 FT E OF,1500.0,2012,0.0,1500.0,342.78,2975,118,15,0,0,241.67,R-5,,,,,
**NS 15 FT ALLEY 1ST N OF PENHURST AVE 99FT E OF GAR,1500.0,2012,0.0,1500.0,1011.21,2975,083,15,0,0,241.67,R-5,,,,,
**NS 15 FT ALLEY 1ST N OF ROKEBY RD REAR 4506 ROKEBY,1500.0,2012,0.0,1500.0,493.28,7958,054,28,0,0,1500.0,R-5,,,,,
**NS 15 FT ALLEY 1ST N OF WILLOW AV125 FT W OF IVANH,700.0,2012,0.0,700.0,1065.75,5216,059,27,0,0,356.18,R-6,,,,,
**NS 15 FT ALLEY 1ST N OF 22ND ST REAR 800-816 E 22N,23800.0,2012,0.0,23800.0,1461.57,4021C,087,9,0,0,24875.0,M-1-2,1761.57,0.0,1461.57,LOKORUSO LLC,264.0
**NS 15 FT ALLEY 1ST N OF 36TH ST 172-4 FT E OF GREE,200.0,2012,0.0,200.0,334.55,4048A,053,9,0,0,245.36,R-6,,,,,
**NS 16 FT ALLEY 1ST N OF DULANY ST 222-3 FT E OF PR,500.0,2012,0.0,500.0,852.93,2118,066A,20,0,0,573.56,R-6,,,,,
**NS 16 FT ALLEY 1ST N OF DULANY ST 94-3 FT E OF PRI,400.0,2012,0.0,400.0,378.21,2118,073A,20,0,0,451.25,R-6,,,,,
**NS 16 FT ALLEY 1ST S OF ROLAND HEIGHTS AV 33-5 FT,100.0,2012,0.0,100.0,340.26,3575A,108,13,0,0,190.0,R-6,,,,,
**NS 16 FT ALLEY 1ST S OF ROLAND HEIGHTS AV 61-11FT,100.0,2012,0.0,100.0,340.26,3575A,111,13,0,0,190.0,R-6,,,,,
**NS 18 FT ALLEY 1ST N OF BOARMAN AV REAR 4010-12 BO,5100.0,2012,0.0,5100.0,360.4,2717,067,15,0,0,968.0,R-5,,,,,
**NS 20 FT ALLEY 1ST N OF PIEDMONT AV REAR 3315 ALTO,1900.0,2012,0.0,1900.0,13449.59,3061A,040,15,0,0,978.0,R-6,,,,,
**NS 20 FT ALLEY 1ST N OF W LANVALE ST 80 FT E OF DU,600.0,2012,0.0,600.0,1265.58,2378,041,16,0,0,675.0,R-7,,,,,
**NS 20 FT ALLEY 2ND S OF GWYNNS FALLS PKWY NWC 16-4,1400.0,2012,0.0,1400.0,319.66,3041,050,15,0,0,400.0,R-6,,,,,
**NS 20 FT LANE 1ST NE PICKWICK RD REAR 2501-03 PICK,800.0,2012,0.0,800.0,1470.28,8393J,042,28,0,0,896.0,R-4,,,,,
**NS 4 FT ALLEY 1ST N OF LAFAYETTE AV 78 FT W OF CAL,9000.0,2012,9000.0,0.0,828.91,0076,084,16,0,0,7306.35,R-8,,,,,
**NWS BELVIEU AV 50 FT W OF MERCERON AV,6400.0,2012,0.0,6400.0,1508.16,8262,014A,28,0,0,6466.67,R-3,,,,,
**NWS BENTON HTS AV 65 FT NE OF MONTANA AV,25500.0,2012,25500.0,0.0,313.28,5816,011,27,0,0,8500.0,R-4,,,,,
**NWS BIDDISON AVE 87-7 N.-EVERGREEN AVE,100.0,2012,0.0,100.0,313.28,5750A,188A,27,0,0,,R-5,,,,,
**NWS FAIRWOOD AVE 243-5 FT NE OF WHITE AV,11600.0,2012,0.0,11600.0,754.36,5691,054,27,0,0,,R-5,,,,,
**NWS FLANNERY LA SWC LIBERTY HEIGHTS AV,900.0,2012,0.0,900.0,1187.64,8286D,002,28,0,0,630.0,R-1,,,,,
**NWS FREDERICK AVE NWC ROCK GLEN ROAD,35000.0,2012,0.0,35000.0,6892.6,8030B,001,28,0,0,,R-5,,,,,
**NWS LAPORTE ST NEC DAYTONA AV,1000.0,2012,0.0,1000.0,2388.47,3190,068,15,0,0,5880.0,R-6,,,,,
**NWS MARYLAND PL 100 FT SW OF OVERCREST AV,3700.0,2012,0.0,3700.0,304.56,8424,010,28,0,0,3733.33,R-4,,,,,
**NWS MARYLAND PL 150 FT SW OVERCREST AV,1000.0,2012,0.0,1000.0,1276.83,8424,011,28,0,0,1055.12,R-4,,,,,
**NWS NORFOLK AVE NWC GWYNNVIEW AVE,67200.0,2012,0.0,67200.0,455.04,8393G,001,28,0,0,,R-1,27423.84,108.0,563.04,"US BANK CUST FOR PTL PARTNERS, LLC",212.0
**NWS PROCTMAN AV 100 FT NE OF BOWLEYS LA,100.0,2012,100.0,0.0,313.28,6200,013,26,0,0,14400.0,M-1-1,313.28,0.0,313.28,,151.0
**NWS RIDGEWOOD AV 115-11 FT NE OF UMATILLA AV,1000.0,2012,0.0,1000.0,315.26,3193,018,15,0,0,2750.0,R-6,,,,,
**NWS RIDGEWOOD AV 265FT SW OF UMATILLA AVE,1000.0,2012,0.0,1000.0,1365.37,3193A,049,15,0,0,2750.0,R-6,,,,,
**NWS ROBINWOOD AV 50 FT NE OF BOWERS AV,8500.0,2012,0.0,8500.0,547.26,8342,011A,28,0,0,4333.33,R-3,,,,,
**NWS THE ALAMEDA 135-8FT NE OF TUNBRIDGE RD,8700.0,2012,8700.0,0.0,313.28,5142,092,27,0,0,,R-6,,,,,
**NWS 10 FT AL 1ST NW DENISON ST REAR 406 DENISON ST,680.0,2012,680.0,0.0,313.28,2282,051,20,0,0,690.08,R-6,,,,,
**NWS 10 FT AL 1ST NW DENISON ST REAR 408 DENISON ST,810.0,2012,810.0,0.0,313.28,2282,050,20,0,0,829.74,R-6,,,,,
**NWS 10 FT ALLEY 1ST NW OF CECIL AV 2632 CECIL AV R,500.0,2012,0.0,500.0,1187.04,4114H,076,9,0,0,497.5,R-6,,,,,
**NWS 10 FT ALLEY 1ST NW OF CECIL AVE REAR 2608 CECI,500.0,2012,0.0,500.0,1074.53,4114H,064,9,0,0,492.12,R-6,,,,,
